,0,1
EXOSC10:1:11159778,1.0,0.0
HP1BP3:1:21069271,1.0,0.0
HP1BP3:1:21069272,1.0,0.0
ZC3H12A:1:37948627,1.0,0.0
GPX7:1:53072534,1.0,0.0
JAK1:1:65310466,1.0,0.0
CRCT1:1:152488190,1.0,4.0991737e-30
CACYBP:1:174969305,5.0116076e-05,0.9999499
C1orf21:1:184446611,1.0,0.0
NID1:1:236195854,0.00046239048,0.9995376
YWHAQ:2:9724905,0.044596802,0.9554032
SPAST:2:32323940,0.63160706,0.36839294
BIRC6:2:32656133,0.039407406,0.96059257
BIRC6:2:32774474,1.0,4.071496e-34
"LY75-CD302,LY75:2:160664993",0.013429552,0.9865704
FAM171B:2:187615937,1.0,0.0
UNC80:2:210685400,1.0,3.037e-41
UNC80:2:210840930,0.00032413725,0.99967587
ERBB4:2:212295776,1.0,0.0
PRKAG3:2:219695524,0.15436114,0.8456389
DOCK3:3:51398058,1.0,0.0
ACAD9:3:128603548,0.9388618,0.061138228
PIK3CA:3:178936091,1.0,0.0
JAKMIP1:4:6055486,1.0,0.0
MAN2B2:4:6594922,1.0,0.0
TBC1D1:4:38016486,1.0,0.0
FRAS1:4:79400787,1.0,0.0
RASGEF1B:4:82348222,1.0,0.0
AFF1:4:88056991,1.0,0.0
MYOZ2:4:120107393,1.0,0.0
SETD7:4:140468186,1.0,0.0
MAML3:4:141075007,1.0,0.0
ABCE1:4:146031272,1.0,0.0
ZDHHC11:5:825288,1.8508772e-17,1.0
SEMA5A:5:9154695,0.99916506,0.000834919
PDZD2:5:32087471,0.99507976,0.004920232
NIPBL:5:37020723,0.7210282,0.27897182
C5orf42:5:37183608,0.9835385,0.016461467
APC:5:112174182,0.014858444,0.9851416
APC:5:112175639,0.015732141,0.98426783
"MCC,TSSK1B:5:112769053",0.02220519,0.9777948
"PCDHA1,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6:5:140209875",0.029231656,0.97076833
DPYSL3:5:146798026,0.00040856295,0.9995914
IRF4:6:401693,0.00029578025,0.99970424
HIST1H2AE:6:26217324,0.018890237,0.98110974
GRM4:6:34029804,1.0,0.0
CDK19:6:110943360,0.21180509,0.7881949
NME8:7:37905186,1.0,5.6492e-41
GLI3:7:42004583,1.0,1.0459093e-08
GTF2IRD1:7:74016697,1.0,0.0
AKAP9:7:91712617,0.24131525,0.75868475
PTPRZ1:7:121653331,0.0045699696,0.99543005
WDR91:7:134882745,1.0,5.327955e-38
SLC13A4:7:135392993,0.018418219,0.9815818
BRAF:7:140477861,1.0,2.8526492e-09
ZFHX4:8:77763772,0.0045699696,0.99543005
FAM91A1:8:124827067,0.1129479,0.8870521
SHB:9:37919869,1.0,0.0
SHC3:9:91628248,1.0,0.0
ACTL7B:9:111617766,1.0,0.0
RABGAP1:9:125866703,1.0,0.0
CUBN:10:16882479,0.01106449,0.98893553
ITGB1:10:33200420,0.6101119,0.3898881
BTAF1:10:93784620,1.0,0.0
BAG3:10:121436585,1.0,0.0
PGAP2:11:3832518,1.5971339e-11,1.0
SCUBE2:11:9096067,2.6332115e-11,1.0
USP47:11:11927060,0.9998269,0.00017309943
ABCC8:11:17417247,1.7276716e-09,1.0
HTATIP2:11:20404609,1.0,0.0
SLC1A2:11:35282267,2.407415e-10,1.0
ALX4:11:44286598,1.0,0.0
OR5T2:11:56000181,1.0,0.0
SYT7:11:61295596,7.646826e-12,1.0
FAT3:11:92531877,1.0,0.0
ZC3H12C:11:110035723,1.0,0.0
CRYAB:11:111782336,1.0,0.0
PHLDB1:11:118513099,1.0,0.0
VPS11:11:118951981,1.0,0.0
ARHGEF12:11:120359873,1.0,0.0
GRIP1:12:66786476,5.9287984e-11,1.0
SLC6A15:12:85257230,1.0,0.0
