,0
AGTRAP:1:11810158,1.0
UBL4B:1:110655550,1.0
KCND3:1:112524853,1.0
NOTCH2NL:1:145282148,1.0
PRR9:1:153191243,1.0
CCSAP:1:229460943,1.0
KIF26B:1:245850641,1.0
SLC8A1:2:40656676,1.0
ABCG8:2:44099159,1.0
SPTBN1:2:54895688,1.0
SCN7A:2:167266200,1.0
SCN7A:2:167301343,1.0
TTN:2:179485114,1.0
TTN:2:179606419,1.0
KLHL18:3:47386788,1.0
CNTN3:3:74313404,1.0
UROC1:3:126224558,1.0
PLXNA1:3:126736305,1.0
EFCC1:3:128758627,1.0
COL6A5:3:130202950,1.0
COL6A6:3:130290119,1.0
NCEH1:3:172350674,1.0
SENP2:3:185307937,1.0
ADIPOQ:3:186571054,1.0
HRASLS:3:192980861,1.0
POU4F2:4:147561358,1.0
PALLD:4:169433444,
NUP155:5:37352906,1.0
APC:5:112175390,1.0
FAT2:5:150914119,1.0
UNC5A:5:176304921,1.0
ACOT13:6:24667453,1.0
TULP1:6:35473917,1.0
CD2AP:6:47567072,1.0
FUT9:6:96661529,1.0
SYNE1:6:152557308,1.0
THBS2:6:169648997,1.0
ABCA13:7:48494790,1.0
IKZF1:7:50468308,1.0
LMTK2:7:97823799,1.0
SSPO:7:149474801,1.0
FAM110B:8:59061415,1.0
ZFHX4:8:77617118,1.0
SLC25A32:8:104413839,1.0
ST3GAL1:8:134472109,1.0
UBE2R2:9:33917339,1.0
SLC28A3:9:86917226,1.0
ASTN2:9:119187926,1.0
FPGS:9:130572314,1.0
FBXW5:9:139836559,1.0
COX15:10:101480755,1.0
SMNDC1:10:112058455,1.0
ADAM8:10:135076463,1.0
LGR4:11:27389518,1.0
KIAA1549L:11:33564878,1.0
CLPB:11:72005688,1.0
"PDGFD,DDI1:11:103907757",1.0
NCAM1:11:113147958,1.0
DSCAML1:11:117651400,1.0
OR10G8:11:123900392,1.0
VWF:12:6080795,1.0
ZNF705A:12:8327883,1.0
DIP2B:12:51139044,1.0
KRT79:12:53228032,1.0
ZC3H13:13:46559504,1.0
"BIVM-ERCC5,ERCC5:13:103528219",1.0
OXA1L:14:23240314,1.0
ZFYVE1:14:73459883,1.0
TTBK2:15:43038239,1.0
ACSBG1:15:78474853,1.0
KIAA1024:15:79750023,1.0
SYNM:15:99671448,1.0
CERS3:15:101024800,1.0
RFWD3:16:74662376,1.0
OR1E2:17:3336506,1.0
ANKFY1:17:4088333,1.0
KIAA0753:17:6499589,1.0
TP53:17:7578263,1.0
ARHGAP23:17:36646734,1.0
KRT20:17:39036508,1.0
GRIK5:19:42560872,1.0
GRIK5:19:42560955,1.0
ZNF835:19:57175381,1.0
L3MBTL1:20:42169427,1.0
CDH4:20:60348193,1.0
TSPEAR:21:45945556,1.0
CABIN1:22:24487789,
RFPL2:22:32586695,1.0
CACNG2:22:36960738,1.0
KIAA2022:X:73961225,1.0
VMA21:X:150573446,1.0
